,created_at,name,screen_name,description,id,location,followers_count,following_count,listed_count,tweet_count
73,2018-05-25T15:27:36.000Z,The Alternative Story,TheAltStory,"An intersectional feminist, trauma-informed, kink-aware mental health organization providing services to individuals and organizations.",1000035664425926661,,1300,66,10,349
74,2017-06-14T14:32:19.000Z,TriggerHub,triggerhub_,"A mental health organization dedicated to mental health recovery through #bibliotherapy. Find your recovery, Go get your book!
Proceeds to charity @shawmind_",874997935813140480,United Kingdom,7157,2279,74,8450
75,2010-09-14T18:19:15.000Z,Hope and Me - MDAO,mooddisordersON,"Official account of Hope and Me - Mood Disorders Association of Ontario, a #mentalhealth organization providing peer support services across Ontario",190735469,"Toronto, Ontario, Canada",6154,1503,171,6191
76,2010-09-23T17:35:11.000Z,PEERS,peersorg,PEERS is a premier consumer-run #mentalhealth organization that promotes the empowerment of people with mental health experiences.,194201383,"Oakland, CA",1313,1176,49,3021
77,2018-03-15T18:51:11.000Z,NAMI Nevada,NAMI_Nv,Nevada’s grassroots mental health organization dedicated to building better lives for Nevadans affected by mental illness! #NAMINV #STIGMAFREE,974357355520434176,,748,1626,5,537
78,2014-10-01T20:08:15.000Z,The Production Farm,Production_Farm,"A non-profit, behavioral and mental health organization with a mission grounded in creativity, arts & filmmaking. Lets re-imagine mental health.",2798812377,Wisconsin,1145,1762,9,3019
79,2012-03-13T09:46:10.000Z,Richmond Wellbeing,RW_wellbeing,"Leading mental health organisation providing inclusive, recovery-orientated support services. People can, and do, recover. #mentalhealth #sharingthejourney",523077308,Western Australia,1061,457,25,831
80,2016-03-28T17:40:17.000Z,Inside Our Minds,insidemindspgh,"Radical mental health organization that provides free, community based mental health programming to the #PGH area.",714507413408366594,"Pittsburgh, PA",608,551,16,869
81,2020-06-25T01:19:05.000Z,YouAreLoved,youarelovedlife,Non-profit mental health organization / We exist to remind all people that even in your darkest moment 'You Are Loved',1275961631063838720,"Plano, TX",435,102,0,770
82,2021-12-09T23:18:49.000Z,Brainisreal.ETH,brainisreal,10k Collectable #NFTs to combat mental health🧠💪🏼 Proceeds donated to #mentalhealth organizations💰CB @bigffiendlyrep,1469084121620041734,Brain,445,59,3,647
83,2009-11-12T14:09:02.000Z,Training at the Tavi,TaviTraining,Tavistock & Portman NHS Foundation Trust is the UK's premier mental health training organisation.  Email us at training@tavi-port.ac.uk or visit us online.,89453303,London,5718,1741,76,10103
84,2009-04-02T07:35:49.000Z,Divya Srivastava,DivyaDazzles,"Counselling Psychologist & Clinical Supervisor | Founder @WeDeliverHope, a mental health organization |",28300137,"Mumbai, India",886,703,0,5789
85,2008-08-11T09:16:51.000Z,Catch21,thecatch21way,We are a mental health awareness organisation. Our aim is to inform with facts and research focusing on wellbeing and mental health in a positive light.,15806525,London,1797,1940,52,11907
